epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,474.425,2.03791,3.8762,1.17842,0.47051,0.32405,0.27063,0.12221,1.8112,2.29896,1.10737,0.000329502,0.000329502,0.000329502
2,949.493,1.8901,1.92925,1.12039,0.46152,0.3379,0.29799,0.15108,1.76251,2.25608,1.0963,0.000636587,0.000636587,0.000636587
3,1424.22,1.84853,1.75231,1.10963,0.45799,0.37922,0.29829,0.13983,1.79521,2.05979,1.0907,0.000917272,0.000917272,0.000917272
4,1901.94,1.80113,1.59395,1.09068,0.60142,0.40266,0.42172,0.20698,1.76301,1.60793,1.0966,0.0008812,0.0008812,0.0008812
5,2376.23,1.78532,1.52751,1.08313,0.60416,0.42399,0.44771,0.21876,1.74241,1.46361,1.07144,0.0008416,0.0008416,0.0008416
6,2858.61,1.7811,1.46452,1.07571,0.737,0.43,0.50305,0.25681,1.62694,1.35995,1.0422,0.000802,0.000802,0.000802
7,3350.38,1.69604,1.34342,1.03937,0.6847,0.46788,0.51136,0.26172,1.61357,1.35938,1.041,0.0007624,0.0007624,0.0007624
8,3824.94,1.63165,1.28682,1.02849,0.68121,0.49567,0.54286,0.27595,1.628,1.33645,1.03323,0.0007228,0.0007228,0.0007228
9,4296.81,1.63334,1.28131,1.02135,0.74093,0.46569,0.53824,0.27826,1.63494,1.25747,1.03334,0.0006832,0.0006832,0.0006832
10,4772.02,1.6103,1.21967,1.00927,0.72928,0.52045,0.56963,0.30195,1.54327,1.20503,1.00371,0.0006436,0.0006436,0.0006436
11,5243.72,1.54946,1.14591,1.00368,0.76247,0.53098,0.59381,0.32403,1.53013,1.10677,0.98937,0.000604,0.000604,0.000604
12,5707.62,1.5258,1.1119,0.99568,0.60449,0.55396,0.62429,0.34563,1.48038,1.03494,0.98759,0.0005644,0.0005644,0.0005644
13,6169.46,1.53873,1.10448,0.99562,0.6175,0.57164,0.61833,0.34158,1.49057,1.06354,0.9927,0.0005248,0.0005248,0.0005248
14,6636.88,1.46431,1.04054,0.97023,0.60517,0.55203,0.61839,0.34185,1.45775,1.05759,0.97355,0.0004852,0.0004852,0.0004852
15,7109.2,1.46196,1.00865,0.97131,0.63904,0.57556,0.65381,0.36965,1.41487,0.96021,0.96718,0.0004456,0.0004456,0.0004456
16,7579.08,1.4012,0.98381,0.97407,0.80611,0.5702,0.6591,0.37733,1.43391,0.95866,0.96963,0.000406,0.000406,0.000406
17,8052.92,1.36319,0.9143,0.96757,0.6145,0.61003,0.67243,0.39297,1.36972,0.92641,0.95236,0.0003664,0.0003664,0.0003664
18,8533.29,1.36218,0.88464,0.96558,0.67289,0.59102,0.67241,0.39205,1.38965,0.89073,0.95548,0.0003268,0.0003268,0.0003268
19,9012.75,1.32778,0.8613,0.95478,0.68404,0.6222,0.67624,0.3922,1.37532,0.90642,0.94868,0.0002872,0.0002872,0.0002872
20,9492.74,1.30842,0.82062,0.94765,0.62801,0.63139,0.68923,0.40587,1.3503,0.85611,0.9416,0.0002476,0.0002476,0.0002476
21,9970.69,1.28522,0.80806,0.94302,0.64825,0.68503,0.70227,0.41403,1.35323,0.84153,0.94354,0.000208,0.000208,0.000208
22,10455,1.27719,0.79318,0.93702,0.69421,0.63936,0.71138,0.41805,1.328,0.8494,0.93848,0.0001684,0.0001684,0.0001684
23,10926.7,1.23209,0.75106,0.92224,0.71165,0.667,0.71805,0.42975,1.30852,0.81138,0.93415,0.0001288,0.0001288,0.0001288
24,11400.1,1.19872,0.73872,0.92115,0.68276,0.68558,0.707,0.4297,1.29718,0.81411,0.93142,8.92e-05,8.92e-05,8.92e-05
25,11871.4,1.20713,0.72571,0.91637,0.71628,0.68039,0.7135,0.43226,1.29252,0.81007,0.92953,4.96e-05,4.96e-05,4.96e-05
